id,router_type,input,routing_time
0,basic,query_0,9.5367431640625e-07
1,basic,query_1,9.5367431640625e-07
2,basic,query_2,9.5367431640625e-07
3,basic,query_3,0.0
4,basic,query_4,0.0
5,basic,query_5,0.0
6,basic,query_6,0.0
7,basic,query_7,0.0
8,basic,query_8,0.0
9,basic,query_9,0.0
10,basic,query_10,0.0
11,basic,query_11,0.0
12,basic,query_12,0.0
13,basic,query_13,0.0
14,basic,query_14,0.0
15,basic,query_15,0.0
16,basic,query_16,0.0
17,basic,query_17,0.0
18,basic,query_18,0.0
19,basic,query_19,0.0
20,basic,query_20,9.5367431640625e-07
21,basic,query_21,9.5367431640625e-07
22,basic,query_22,0.0
23,basic,query_23,0.0
24,basic,query_24,0.0
25,basic,query_25,0.0
26,basic,query_26,0.0
27,basic,query_27,0.0
28,basic,query_28,0.0
29,basic,query_29,0.0
30,basic,query_30,0.0
31,basic,query_31,0.0
32,basic,query_32,0.0
33,basic,query_33,0.0
34,basic,query_34,0.0
35,basic,query_35,0.0
36,basic,query_36,0.0
37,basic,query_37,0.0
38,basic,query_38,0.0
39,basic,query_39,0.0
40,basic,query_40,0.0
41,basic,query_41,1.1920928955078125e-06
42,basic,query_42,0.0
43,basic,query_43,0.0
44,basic,query_44,0.0
45,basic,query_45,0.0
46,basic,query_46,0.0
47,basic,query_47,0.0
48,basic,query_48,0.0
49,basic,query_49,0.0
50,basic,query_50,0.0
51,basic,query_51,0.0
52,basic,query_52,0.0
53,basic,query_53,0.0
54,basic,query_54,0.0
55,basic,query_55,0.0
56,basic,query_56,0.0
57,basic,query_57,0.0
58,basic,query_58,0.0
59,basic,query_59,0.0
60,basic,query_60,0.0
61,basic,query_61,0.0
62,basic,query_62,0.0
63,basic,query_63,9.5367431640625e-07
64,basic,query_64,0.0
65,basic,query_65,0.0
66,basic,query_66,0.0
67,basic,query_67,0.0
68,basic,query_68,1.1920928955078125e-06
69,basic,query_69,9.5367431640625e-07
70,basic,query_70,0.0
71,basic,query_71,0.0
72,basic,query_72,0.0
73,basic,query_73,0.0
74,basic,query_74,0.0
75,basic,query_75,9.5367431640625e-07
76,basic,query_76,0.0
77,basic,query_77,0.0
78,basic,query_78,9.5367431640625e-07
79,basic,query_79,0.0
80,basic,query_80,0.0
81,basic,query_81,0.0
82,basic,query_82,0.0
83,basic,query_83,0.0
84,basic,query_84,0.0
85,basic,query_85,0.0
86,basic,query_86,0.0
87,basic,query_87,1.1920928955078125e-06
88,basic,query_88,9.5367431640625e-07
89,basic,query_89,0.0
90,basic,query_90,0.0
91,basic,query_91,0.0
92,basic,query_92,0.0
93,basic,query_93,0.0
94,basic,query_94,0.0
95,basic,query_95,0.0
96,basic,query_96,9.5367431640625e-07
97,basic,query_97,0.0
98,basic,query_98,0.0
99,basic,query_99,0.0
100,domain,query_0,4.291534423828125e-06
101,domain,query_1,2.1457672119140625e-06
102,domain,query_2,1.1920928955078125e-06
103,domain,query_3,9.5367431640625e-07
104,domain,query_4,7.152557373046875e-07
105,domain,query_5,1.1920928955078125e-06
106,domain,query_6,0.0
107,domain,query_7,1.1920928955078125e-06
108,domain,query_8,1.1920928955078125e-06
109,domain,query_9,9.5367431640625e-07
110,domain,query_10,0.0
111,domain,query_11,9.5367431640625e-07
112,domain,query_12,0.0
113,domain,query_13,9.5367431640625e-07
114,domain,query_14,7.152557373046875e-07
115,domain,query_15,0.0
116,domain,query_16,9.5367431640625e-07
117,domain,query_17,1.1920928955078125e-06
118,domain,query_18,0.0
119,domain,query_19,7.152557373046875e-07
120,domain,query_20,0.0
121,domain,query_21,9.5367431640625e-07
122,domain,query_22,0.0
123,domain,query_23,9.5367431640625e-07
124,domain,query_24,9.5367431640625e-07
125,domain,query_25,0.0
126,domain,query_26,9.5367431640625e-07
127,domain,query_27,0.0
128,domain,query_28,0.0
129,domain,query_29,1.1920928955078125e-06
130,domain,query_30,0.0
131,domain,query_31,1.1920928955078125e-06
132,domain,query_32,0.0
133,domain,query_33,9.5367431640625e-07
134,domain,query_34,1.1920928955078125e-06
135,domain,query_35,0.0
136,domain,query_36,1.1920928955078125e-06
137,domain,query_37,0.0
138,domain,query_38,9.5367431640625e-07
139,domain,query_39,9.5367431640625e-07
140,domain,query_40,0.0
141,domain,query_41,1.1920928955078125e-06
142,domain,query_42,9.5367431640625e-07
143,domain,query_43,0.0
144,domain,query_44,9.5367431640625e-07
145,domain,query_45,9.5367431640625e-07
146,domain,query_46,7.152557373046875e-07
147,domain,query_47,0.0
148,domain,query_48,1.1920928955078125e-06
149,domain,query_49,0.0
150,domain,query_50,1.1920928955078125e-06
151,domain,query_51,7.152557373046875e-07
152,domain,query_52,9.5367431640625e-07
153,domain,query_53,1.1920928955078125e-06
154,domain,query_54,9.5367431640625e-07
155,domain,query_55,0.0
156,domain,query_56,7.152557373046875e-07
157,domain,query_57,0.0
158,domain,query_58,1.1920928955078125e-06
159,domain,query_59,9.5367431640625e-07
160,domain,query_60,0.0
161,domain,query_61,9.5367431640625e-07
162,domain,query_62,0.0
163,domain,query_63,1.1920928955078125e-06
164,domain,query_64,9.5367431640625e-07
165,domain,query_65,9.5367431640625e-07
166,domain,query_66,1.1920928955078125e-06
167,domain,query_67,0.0
168,domain,query_68,1.1920928955078125e-06
169,domain,query_69,0.0
170,domain,query_70,9.5367431640625e-07
171,domain,query_71,0.0
172,domain,query_72,0.0
173,domain,query_73,1.1920928955078125e-06
174,domain,query_74,0.0
175,domain,query_75,1.1920928955078125e-06
176,domain,query_76,9.5367431640625e-07
177,domain,query_77,0.0
178,domain,query_78,9.5367431640625e-07
179,domain,query_79,9.5367431640625e-07
180,domain,query_80,9.5367431640625e-07
181,domain,query_81,1.1920928955078125e-06
182,domain,query_82,0.0
183,domain,query_83,1.1920928955078125e-06
184,domain,query_84,9.5367431640625e-07
185,domain,query_85,0.0
186,domain,query_86,9.5367431640625e-07
187,domain,query_87,0.0
188,domain,query_88,9.5367431640625e-07
189,domain,query_89,0.0
190,domain,query_90,1.1920928955078125e-06
191,domain,query_91,1.1920928955078125e-06
192,domain,query_92,7.152557373046875e-07
193,domain,query_93,0.0
194,domain,query_94,9.5367431640625e-07
195,domain,query_95,9.5367431640625e-07
196,domain,query_96,1.1920928955078125e-06
197,domain,query_97,0.0
198,domain,query_98,9.5367431640625e-07
199,domain,query_99,0.0
200,domain_simplified,query_0,7.867813110351562e-06
201,domain_simplified,query_1,1.9073486328125e-06
202,domain_simplified,query_2,9.5367431640625e-07
203,domain_simplified,query_3,9.5367431640625e-07
204,domain_simplified,query_4,7.152557373046875e-07
205,domain_simplified,query_5,1.1920928955078125e-06
206,domain_simplified,query_6,1.1920928955078125e-06
207,domain_simplified,query_7,0.0
208,domain_simplified,query_8,9.5367431640625e-07
209,domain_simplified,query_9,0.0
210,domain_simplified,query_10,9.5367431640625e-07
211,domain_simplified,query_11,9.5367431640625e-07
212,domain_simplified,query_12,9.5367431640625e-07
213,domain_simplified,query_13,9.5367431640625e-07
214,domain_simplified,query_14,9.5367431640625e-07
215,domain_simplified,query_15,1.1920928955078125e-06
216,domain_simplified,query_16,0.0
217,domain_simplified,query_17,9.5367431640625e-07
218,domain_simplified,query_18,0.0
219,domain_simplified,query_19,9.5367431640625e-07
220,domain_simplified,query_20,9.5367431640625e-07
221,domain_simplified,query_21,9.5367431640625e-07
222,domain_simplified,query_22,0.0
223,domain_simplified,query_23,9.5367431640625e-07
224,domain_simplified,query_24,0.0
225,domain_simplified,query_25,1.1920928955078125e-06
226,domain_simplified,query_26,1.1920928955078125e-06
227,domain_simplified,query_27,0.0
228,domain_simplified,query_28,7.152557373046875e-07
229,domain_simplified,query_29,1.1920928955078125e-06
230,domain_simplified,query_30,0.0
231,domain_simplified,query_31,1.1920928955078125e-06
232,domain_simplified,query_32,0.0
233,domain_simplified,query_33,9.5367431640625e-07
234,domain_simplified,query_34,1.1920928955078125e-06
235,domain_simplified,query_35,0.0
