id,cycle,router,query_type,query,selected_expert,response,oracle_response,routing_latency_ms,total_latency_ms
0,0,round_robin,biomedical,What is the mechanism of action of metformin in type 2 diabetes?,biomedlm, The effect of the anti-inflammatory effects of a single-dose of interleukin-1β on the expression of the human immunodeficiency virus type 1 (HIV-1 Tat-induced changes in the expression of the human immunodeficiency virus type 1 Tat-interacting protein (Tat-2) on the expression of the human immunodeficiency virus,Metformin reduces hepatic glucose production and increases insulin sensitivity,0.002,6878.697
1,0,round_robin,biomedical,What are the symptoms of myocardial infarction?,biomedlm," The effect of the N-terminal domain of the human immunodeficiency virus type 1 (HIV-1 Tat-induced apoptosis in human T cells.
The human immunodeficiency virus type 1 Tat protein of the human immunodeficiency virus type 1 envelope glycoprotein gp120-mediated apoptosis of human T cells.

B: The C-terminal",Chest pain radiating to left arm jaw shortness of breath sweating nausea,0.004,6255.258
2,0,round_robin,biomedical,How does CRISPR-Cas9 gene editing work?,biomedlm," The authors have no competing interests.

**Authors' contributions {#s1}
===========================================",Cas9 protein uses guide RNA to locate and cut specific DNA sequences,0.003,6253.711
3,0,round_robin,biomedical,What is the role of p53 in cancer suppression?,biomedlm," The effect of the N-terminal domain of the human immunodeficiency virus type 1 (HIV-1 Tat-induced apoptosis in the pathogenesis of HIV-1 infection on the expression of the human immunodeficiency virus type 1 Tat-mediated transactivation.
The human immunodeficiency virus type 1 (HIV-1 Tat and p53-associated protein",p53 is a tumor suppressor that induces apoptosis in damaged cells,0.002,6265.298
4,0,round_robin,biomedical,What causes antibiotic resistance in bacteria?,biomedlm,***                                                             ,Genetic mutations and horizontal gene transfer allow bacteria to survive antibiotics,0.002,6302.298
5,0,round_robin,biomedical,What is the blood-brain barrier and its function?,biomedlm, The effect of the N-terminal domain of the human immunodeficiency virus type 1 (HIV-1 Tat protein on the expression of the human immunodeficiency virus type 2 (HIV-1-specific CD4+ T cell responses to the human immunodeficiency virus type 2 (HIV-2-specific CD4+ T cell responses to the,Selective semipermeable border that protects the brain from pathogens and toxins,0.002,6227.87
6,0,round_robin,biomedical,How do mRNA vaccines work?,biomedlm," The role of the immune system in the pathogenesis of the immune response to the development of the immune response in the development of the immune system in the development of the immune system in the development of the immune system in the pathogenesis of the disease.

The authors thank Dr. James B. Wood, MD",mRNA instructs cells to produce spike protein triggering immune response,0.002,6211.903
7,0,round_robin,biomedical,What is the difference between Type 1 and Type 2 diabetes?,biomedlm," The effect of the N-terminal domain of the human immunodeficiency virus type 1 (HIV-1 Tat protein on the expression of the human cytomegalovirus (HIV-1 Tat protein in the nucleus of human cells.
The human immunodeficiency virus type 1 (HIV-1 Tat protein is a potent inducer of the human immunodeficiency virus type",Type 1 is autoimmune destruction of beta cells Type 2 is insulin resistance,0.002,6239.946
8,0,round_robin,biomedical,What are the stages of clinical trials?,biomedlm," The effect of a single-dose of the anti-inflammatory effects of the anti-inflammatory properties of the novel anti-inflammatory drug, indomethacin on the expression of the chemokine receptor CXCR4 in the rat brain.

  -------------------------------------------------------------------------",Phase 1 safety Phase 2 efficacy Phase 3 large scale Phase 4 post market,0.002,6230.119
9,0,round_robin,biomedical,What is the role of hemoglobin in oxygen transport?,biomedlm, The effect of the number of patients with diabetes mellitus on the risk of developing diabetes mellitus in patients with chronic kidney disease (DM) and anemia in the development of cardiovascular disease (CVD) in patients with rheumatoid arthritis (RA) and rheumatoid arthritis (RACVD) and the risk of developing diabetes mellitus (DM) in the,Hemoglobin binds oxygen in lungs and releases it in tissues,0.003,6234.704
