id,topic,input,expert,result_or_error
0,sports,Who won the first modern Olympic marathon in 1896?,Payments,"

The first modern Olympic marathon took place in 1908 in London, England."
1,sports,Who holds the record for the most home runs in Major League Baseball?,Payments,"

The question is about Major League Baseball.

The record for most home runs in Major League Baseball is held by **Babe Ruth**. With 714 home runs, Ruth holds the record for over 80 years."
2,sports,Which country has won the most FIFA World Cups?,Payments,"

Brazil has won the FIFA World Cup 8 times, while Germany has won the tournament 5 times. Other countries that have won the FIFA World Cup include Argentina, England, Italy, Spain, and the Soviet Union."
3,sports,Who is known as the greatest hockey player of all time?,Payments,"

The question is about the greatest hockey player of all time. There is no one definitive answer, as opinions on this matter are subjective and vary widely.

Some of the most commonly mentioned candidates for the title of greatest hockey player of all time include:

* Wayne Gretzky
* Connor McDavid
* Sidney"
4,sports,What is the maximum score possible in a single frame of bowling?,Payments,"

A. 100
B. 120
C. 150
D. 180

The correct answer is **C. 150**

A single frame of bowling can have a maximum score of 150 points."
5,sports,Who was the first woman to score in an NCAA Division I football game?,Payments,"

I cannot find any information about the first woman to score in an NCAA Division I football game."
6,sports,Who won the first FIFA World Cup?,Payments,"

The first FIFA World Cup was held in Brazil in 1930. Argentina won the tournament, defeating Uruguay 4–2 in the final."
7,sports,Why is Michael Jordan considered the greatest basketball player?,Payments,"

Michael Jordan is widely regarded as one of the greatest basketball players of all time. There are several factors that contribute to his status, including his unprecedented athleticism, shooting prowess, passing ability, and leadership.

* **Unmatched athleticism:** Jordan possessed exceptional speed, agility, and jumping ability, which allowed him"
8,sports,How many players are on a standard soccer team during a match?,Payments,"

A. 11
B. 12
C. 13
D. 14


The answer is A. 11.

A standard soccer team has 11 players on the field during a match."
9,sports,What is the Super Bowl and why is it significant?,Payments,"

The Super Bowl is the most prestigious and widely watched sporting event in the world. It is held annually between the National Football League (NFL) and the American Football Conference (AFC) and is broadcast on Fox. The Super Bowl is the culmination of the regular season and features the two teams with the best records in the"
10,sports,Who holds the record for the most Olympic gold medals?,Payments,"

a. Michael Phelps
b. Usain Bolt
c. Carl Lewis
d. Jesse Owens

The correct answer is a. Michael Phelps.

Michael Phelps holds the record for the most Olympic gold medals, with a total of 28 medals, won between 2004 and 20"
11,sports,What is the difference between tennis singles and doubles?,Payments,"

Sure. Here's the difference between tennis singles and doubles:

**Singles:**

* Played between one player against another.
* Played on a single court with a net in between.
* Each player uses a racket to hit a ball back and forth over the net.
* Players score points by"
12,sports,Why is Serena Williams regarded as one of the greatest athletes ever?,Payments,"

Serena Williams is regarded as one of the greatest athletes ever due to her exceptional athleticism, dominance, and unwavering determination.

* **Exceptional Athleticism:** Serena Williams is one of the most skilled and accomplished athletes of all time. She has won 23 Grand Slam singles titles, including 14 at the"
13,sports,What is a hat trick in hockey?,Payments,"

A hat trick is a rare situation in which a player scores three goals in a single period, either within the same period or within two consecutive periods."
14,sports,How long is an NBA basketball game?,Payments,"

An NBA basketball game is 48 minutes long, with a 12-minute halftime break."
15,sports,"Who are considered the ""Big Three"" in men’s tennis?",Payments,"


The Big Three in men's tennis are:
(A) Roger Federer, Novak Djokovic, and Rafael Nadal
(B) Pete Sampras, Andre Agassi, and Boris Becker
(C) Rod Laver, John McEnroe, and Bjorn Borg
(D) Bjorn Borg, Roger Federer"
16,sports,What is the Masters Tournament in golf?,Payments,"

The Masters Tournament is the oldest and most prestigious golf tournament in the world. It is held annually in April at the Augusta National Golf Club in Augusta, Georgia, United States. The tournament features 18 holes of the iconic Old Course, which is considered one of the most challenging and iconic courses in the world."
17,sports,Why is Lionel Messi so highly regarded?,Payments,"

Lionel Messi is widely regarded as one of the greatest footballers of all time. He has won seven Ballon d'Or awards, more than any other player in history, and is a seven-time FIFA World Cup champion. He is also a three-time UEFA Champions League winner and a four-time UEFA Super Cup"
18,sports,"What does the term ""Grand Slam"" mean in tennis?",Payments,"

The Grand Slam is a series of tennis tournaments held by the International Tennis Federation (ITF). It is composed of the four most prestigious tournaments: the Australian Open, the French Open, the Wimbledon Championships, and the US Open.

The Grand Slam is the ultimate goal for any tennis player, and winning all four"
19,sports,Who was Muhammad Ali and why is he famous?,Payments,"

Muhammad Ali was a legendary boxer who dominated the world in the 1960s and 1970s. He was known as ""The Greatest"" and is considered one of the greatest boxers of all time.

Ali's boxing career was marked by incredible success and charisma. He won the"
20,sports,How is a baseball game structured?,Payments,"

A baseball game is played between two teams of nine players each. Each team has a diamond shaped field with bases arranged in a grid pattern. The game is played in three innings, each lasting 2 innings. The team batting first has the opportunity to hit the ball and advance runners around the bases. The team that"
21,sports,What is the Tour de France?,Payments,"

The Tour de France is the world's most prestigious bike race, a self-supported bicycle race that takes place over a week in July. The race covers 19,000 kilometers (12,000 miles) across France, with a route that takes in some of the country'"
