type,question,oracle_response
animals,"What is the fastest land animal in the world?","The cheetah is the fastest, reaching speeds of 60–70 mph."
animals,"Which mammal is capable of true flight?","The bat is the only mammal that can truly fly."
animals,"What is the largest living animal on Earth?","The blue whale is the largest living animal."
animals,"Which bird is known for its ability to mimic human speech?","The parrot is famous for mimicking human speech."
animals,"What is the only marsupial native to North America?","The Virginia opossum is the only marsupial in North America."
animals,"Which animal has the longest lifespan of any vertebrate?","The Greenland shark can live for over 400 years."
animals,"What is the largest species of shark?","The whale shark is the largest species of shark."
animals,"Which animal is considered the king of the jungle?","The lion is known as the king of the jungle."
animals,"What mammal lays eggs instead of giving birth to live young?","The platypus is one of the few egg-laying mammals."
animals,"Which bird cannot fly but is the fastest runner?","The ostrich is flightless but the fastest-running bird."
animals,"What is the only mammal that can see ultraviolet light?","Reindeer can see ultraviolet light."
animals,"Which animal is known for changing its skin color for camouflage?","The chameleon can change its skin color."
animals,"What is the largest land animal?","The African elephant is the largest land animal."
animals,"Which sea creature has three hearts and blue blood?","The octopus has three hearts and blue blood."
animals,"Which mammal spends almost all of its life hanging upside down?","The sloth spends most of its life hanging upside down."
animals,"Which animal is known as the ship of the desert?","The camel is called the ship of the desert."
animals,"Which animal can regrow lost limbs like arms or tails?","The starfish can regenerate lost limbs."
animals,"Which mammal is known to have the most powerful bite?","The hippopotamus has the most powerful mammal bite."
animals,"Which animal is the symbol of wisdom in Greek mythology?","The owl is the symbol of wisdom."
animals,"Which mammal can sleep standing up but must lie down to dream?","Horses can sleep standing but lie down to dream."
animals,"What is the tallest living animal?","The giraffe is the tallest living animal."
animals,"Which reptile has been on Earth for more than 200 million years?","The crocodile has existed for over 200 million years."
animals,"Which animal is known for building dams and lodges in rivers?","The beaver is known for building dams and lodges."
animals,"Which bird is the largest living species?","The ostrich is the largest living bird."
animals,"What insect is the primary pollinator of crops worldwide?","The honeybee is the most important pollinator."
animals,"Which marine mammal is famous for its playful intelligence?","The dolphin is famous for its intelligence."
animals,"Which insect can carry objects many times its body weight?","The ant can carry up to 50 times its body weight."
animals,"Which mammal has fingerprints almost identical to humans?","Koalas have fingerprints nearly identical to humans."
animals,"Which animal is the national symbol of Australia?","The kangaroo is the national symbol of Australia."
animals,"What is the slowest land animal?","The three-toed sloth is the slowest land animal."
animals,"Which fish is capable of generating electricity to stun prey?","The electric eel can generate electricity."
animals,"Which reptile can detach its tail to escape predators?","Lizards can detach their tails as a defense mechanism."
animals,"Which animal produces the loudest sound in the animal kingdom?","The blue whale produces the loudest sound."
animals,"What is the largest species of penguin?","The emperor penguin is the largest penguin species."
animals,"Which mammal is capable of echolocation to navigate?","Bats use echolocation to navigate."
animals,"Which insect is known for its ability to leap great distances?","The grasshopper can leap great distances."
animals,"Which mammal has the longest gestation period?","The African elephant has the longest gestation at about 22 months."
animals,"Which animal can rotate its head up to 270 degrees?","The owl can rotate its head up to 270 degrees."
animals,"What is the only continent without native reptiles or snakes?","Antarctica has no native reptiles or snakes."
animals,"Which mammal spends its entire life in the ocean?","The whale spends its entire life in the ocean."
animals,"What is the fastest marine animal?","The sailfish is the fastest marine animal."
animals,"Which animal is known as the panda’s closest relative?","The spectacled bear is considered its closest relative."
animals,"Which animal is capable of changing its gender during its life?","Clownfish can change gender during their life."
animals,"What is the only mammal capable of sustained hovering in flight?","The hummingbird is the only one capable of this among birds, but bats hover too."
animals,"Which animal is known for carrying its home on its back?","The turtle carries its shell as its home."
animals,"Which mammal has the longest migration of any land animal?","Caribou have the longest land migration."
animals,"Which bird is a universal symbol of peace?","The dove is a symbol of peace."
animals,"Which sea animal is known for squirting ink to escape predators?","The squid uses ink to escape predators."
animals,"What is the largest species of bear?","The polar bear is the largest species of bear."
animals,"Which mammal spends the most time sleeping each day?","The koala sleeps up to 22 hours per day."
animals,"Which fish is famous for its deadly toxin?","The pufferfish contains deadly toxins."
animals,"Which mammal can jump up to three times its body length?","The kangaroo is known for its powerful jumps."
