type,question,oracle_response
sports,"Who won the first modern Olympic marathon in 1896?","Greek runner Spyridon Louis won the race, becoming a national hero in Athens."
sports,"Who holds the record for the most home runs in Major League Baseball?","Barry Bonds holds the all-time record with 762 career home runs."
sports,"Which country has won the most FIFA World Cups?","Brazil holds the record with five World Cup titles."
sports,"Who is known as the greatest hockey player of all time?","Wayne Gretzky is widely regarded as the greatest, holding numerous NHL records."
sports,"What is the maximum score possible in a single frame of bowling?","A perfect frame in bowling scores 30 points if a strike is followed by two more strikes."
sports,"Who was the first woman to score in an NCAA Division I football game?","Katie Hnida became the first woman to score by kicking two extra points for New Mexico in 2003."
sports,"Who won the first FIFA World Cup?","Uruguay won the inaugural FIFA World Cup in 1930, defeating Argentina 2–1 in the final."
sports,"Why is Michael Jordan considered the greatest basketball player?","Michael Jordan is widely regarded as the greatest due to his six NBA championships, five MVP awards, unmatched scoring ability, and dominance in critical playoff moments."
sports,"How many players are on a standard soccer team during a match?","A standard soccer team fields 11 players at a time, including the goalkeeper."
sports,"What is the Super Bowl and why is it significant?","The Super Bowl is the annual championship game of the NFL, one of the most watched sporting events worldwide, symbolizing the pinnacle of American football."
sports,"Who holds the record for the most Olympic gold medals?","Swimmer Michael Phelps holds the record with 23 Olympic gold medals."
sports,"What is the difference between tennis singles and doubles?","Singles involve one player per side, while doubles feature two players per side, with slightly different court boundaries."
sports,"Why is Serena Williams regarded as one of the greatest athletes ever?","Serena Williams dominated women’s tennis with 23 Grand Slam singles titles, powerful athleticism, and longevity at the highest level."
sports,"What is a hat trick in hockey?","A hat trick occurs when a player scores three goals in a single game."
sports,"How long is an NBA basketball game?","An NBA game consists of four 12-minute quarters, totaling 48 minutes of play, though stoppages and overtime often extend it."
sports,"Who are considered the ""Big Three"" in men’s tennis?","Roger Federer, Rafael Nadal, and Novak Djokovic are known as the ""Big Three,"" dominating men’s tennis for nearly two decades."
sports,"What is the Masters Tournament in golf?","The Masters is one of golf’s four major championships, held annually in Augusta, Georgia, and is famous for its green jacket tradition."
sports,"Why is Lionel Messi so highly regarded?","Lionel Messi is admired for his extraordinary dribbling, vision, passing, and scoring consistency, earning multiple Ballon d’Or awards and international titles."
sports,"What does the term ""Grand Slam"" mean in tennis?","A Grand Slam refers to winning all four major tournaments (Australian Open, French Open, Wimbledon, and US Open) in the same calendar year."
