type,question,oracle_response
travel,"What is the largest country in the world by land area?","Russia is the largest country, spanning over 17 million square kilometers across Europe and Asia."
travel,"Which city is known as the Eternal City?","Rome is famously called the Eternal City due to its rich history and enduring legacy."
travel,"What is the busiest airport in the world by passenger traffic?","Hartsfield-Jackson Atlanta International Airport in the United States holds the title for busiest passenger traffic."
travel,"Which country is home to the Great Barrier Reef?","Australia is home to the Great Barrier Reef, the world’s largest coral reef system."
travel,"What is the tallest mountain in the world?","Mount Everest in the Himalayas is the tallest mountain, standing at 8,849 meters."
travel,"Which city is known as the City of Love?","Paris is often called the City of Love due to its romantic atmosphere and landmarks."
travel,"What is the longest river in the world?","The Nile River in Africa is considered the longest, stretching about 6,650 kilometers."
travel,"Which U.S. state is known as the Sunshine State?","Florida is nicknamed the Sunshine State because of its warm and sunny climate."
travel,"What is the most visited city in the world?","Bangkok, Thailand, frequently ranks as the world’s most visited city by international tourists."
travel,"Which country has the most UNESCO World Heritage Sites?","Italy holds the record with more than 50 UNESCO World Heritage Sites."
travel,"What is Japan’s famous high-speed train called?","Japan’s high-speed train is called the Shinkansen, often known as the bullet train."
travel,"Which desert is the largest in the world?","The Antarctic Desert is the largest, covering over 14 million square kilometers."
travel,"What is the capital city of Canada?","Ottawa is the capital city of Canada, located in the province of Ontario."
travel,"Which European city is divided by the River Thames?","London is divided by the River Thames, one of its most iconic features."
travel,"What is the currency used in the United Kingdom?","The currency of the United Kingdom is the British Pound Sterling."
travel,"Which country is famous for tulips and windmills?","The Netherlands is renowned for its tulip fields and traditional windmills."
travel,"What is the tallest building in the world?","The Burj Khalifa in Dubai, United Arab Emirates, is the tallest building, standing at 828 meters."
travel,"Which continent is the Sahara Desert located in?","The Sahara Desert is located in Africa, spanning across 11 countries."
travel,"What is the capital of Thailand?","Bangkok is the capital city of Thailand, known for its vibrant street life and temples."
travel,"Which country is known as the Land of the Rising Sun?","Japan is called the Land of the Rising Sun due to its eastern location and cultural symbolism."
travel,"What is the capital of Australia?","Canberra is the capital of Australia, though many mistakenly think it is Sydney."
travel,"Which city hosts the famous Carnival with samba parades?","Rio de Janeiro in Brazil is famous for its colorful Carnival parades and samba dancing."
travel,"What is the national airline of Singapore?","Singapore Airlines is the flag carrier and one of the world’s most awarded airlines."
travel,"Which island country is known for its volcanoes and black sand beaches?","Iceland is famous for its volcanic landscapes and black sand beaches."
travel,"What is the capital city of Egypt?","Cairo is the capital of Egypt, located along the Nile River."
travel,"Which country is home to Machu Picchu?","Peru is home to Machu Picchu, the famous Incan citadel in the Andes Mountains."
travel,"What is the capital of South Korea?","Seoul is the capital of South Korea, a modern city with rich history and culture."
travel,"Which country has the city of Marrakech?","Morocco is home to Marrakech, a historic city known for its vibrant souks and architecture."
travel,"What is the official language of Brazil?","Portuguese is the official language of Brazil, the largest country in South America."
travel,"Which U.S. city is nicknamed the Big Apple?","New York City is famously nicknamed the Big Apple."
travel,"What is the currency used in Japan?","The official currency of Japan is the Japanese Yen."
travel,"Which African country is known for safaris and wildlife reserves?","Kenya is world-famous for its safaris and wildlife conservation parks."
travel,"What is the capital of Spain?","Madrid is the capital city of Spain, located in the heart of the country."
travel,"Which ocean is the largest in the world?","The Pacific Ocean is the largest, covering more than 60 million square miles."
travel,"What is the capital city of Germany?","Berlin is the capital of Germany, known for its history and culture."
travel,"Which European country is famous for chocolate, waffles, and beer?","Belgium is well-known for its chocolate, waffles, and beer culture."
travel,"What is the capital of India?","New Delhi is the capital city of India."
travel,"Which South American country is the largest by area?","Brazil is the largest country in South America by land area."
travel,"What is the capital city of Argentina?","Buenos Aires is the capital city of Argentina."
travel,"Which Italian city is built on canals?","Venice is the Italian city built on a network of canals."
travel,"What is the currency used in Mexico?","The official currency of Mexico is the Mexican Peso."
travel,"Which Asian country has the city of Kathmandu?","Nepal’s capital city is Kathmandu, a gateway to the Himalayas."
travel,"What is the most populous country in the world?","China is the most populous country, with over 1.4 billion people."
travel,"Which U.S. state is known for its Grand Canyon?","Arizona is home to the Grand Canyon, one of the world’s natural wonders."
travel,"What is the capital city of Russia?","Moscow is the capital city of Russia."
travel,"Which African country has the pyramids of Giza?","Egypt is home to the pyramids of Giza, one of the Seven Wonders of the Ancient World."
travel,"What is the capital of France?","Paris is the capital of France, often called the City of Light."
travel,"Which Caribbean island is the birthplace of reggae music?","Jamaica is the birthplace of reggae music and Bob Marley."
travel,"What is the currency used in Canada?","The official currency of Canada is the Canadian Dollar."
travel,"Which Asian city is known as the Pearl of the Orient?","Manila in the Philippines is called the Pearl of the Orient."
travel,"What is the highest waterfall in the world?","Angel Falls in Venezuela is the world’s tallest waterfall at 979 meters."
travel,"Which country is known for the city of Istanbul?","Turkey is home to Istanbul, a city bridging Europe and Asia."
travel,"What is the capital of Greece?","Athens is the capital of Greece, famous for its ancient ruins."
travel,"Which country is famous for the Taj Mahal?","India is home to the Taj Mahal, a UNESCO World Heritage Site."
travel,"What is the currency of Switzerland?","The official currency of Switzerland is the Swiss Franc."
travel,"Which African country is known as the Rainbow Nation?","South Africa is often called the Rainbow Nation for its diversity."
travel,"What is the capital of Portugal?","Lisbon is the capital city of Portugal."
travel,"Which Asian country is famous for Angkor Wat?","Cambodia is home to Angkor Wat, the largest religious monument in the world."
travel,"What is the capital of Turkey?","Ankara is the capital city of Turkey, though Istanbul is the largest city."
travel,"Which country is home to the Galápagos Islands?","Ecuador is home to the Galápagos Islands, known for unique wildlife."
travel,"What is the capital of Indonesia?","Jakarta is the capital city of Indonesia."
travel,"Which European country is shaped like a boot?","Italy is famously shaped like a boot on the map."
travel,"What is the currency of China?","The official currency of China is the Renminbi (Yuan)."
travel,"Which U.S. city is known as the City of Angels?","Los Angeles is known as the City of Angels."
travel,"What is the capital city of South Africa?","South Africa has three capitals: Pretoria, Cape Town, and Bloemfontein."
travel,"Which Asian country is home to Mount Fuji?","Japan is home to Mount Fuji, a famous volcano and cultural icon."
travel,"What is the capital of Kenya?","Nairobi is the capital city of Kenya."
travel,"Which European city has the Eiffel Tower?","Paris, France, is home to the Eiffel Tower."
